"Date(UTC)","UnixTimeStamp","Value (Wei)"
"7/1/2023","1688169600","21910160118"
"7/2/2023","1688256000","18910143641"
"7/3/2023","1688342400","25568830310"
"7/4/2023","1688428800","29850456504"
"7/5/2023","1688515200","57566023935"
"7/6/2023","1688601600","43880041029"
"7/7/2023","1688688000","37103223628"
"7/8/2023","1688774400","23397412310"
"7/9/2023","1688860800","22277574744"
"7/10/2023","1688947200","26739882255"
"7/11/2023","1689033600","26455315457"
"7/12/2023","1689120000","32325010851"
"7/13/2023","1689206400","38624753222"
"7/14/2023","1689292800","28944487054"
"7/15/2023","1689379200","18217728227"
"7/16/2023","1689465600","20792150840"
"7/17/2023","1689552000","26924628980"
"7/18/2023","1689638400","35478900205"
"7/19/2023","1689724800","31907187218"
"7/20/2023","1689811200","32009270116"
"7/21/2023","1689897600","33374464370"
"7/22/2023","1689984000","23553563819"
"7/23/2023","1690070400","25073407368"
"7/24/2023","1690156800","38558174115"
"7/25/2023","1690243200","36003490175"
"7/26/2023","1690329600","31655338914"
"7/27/2023","1690416000","36951833604"
"7/28/2023","1690502400","42606260992"
"7/29/2023","1690588800","25935396508"
"7/30/2023","1690675200","23605579597"
"7/31/2023","1690761600","27661560032"
"8/1/2023","1690848000","27190618467"
"8/2/2023","1690934400","29177145259"
"8/3/2023","1691020800","27012243725"
"8/4/2023","1691107200","23308784539"
"8/5/2023","1691193600","20081142056"
"8/6/2023","1691280000","18489769138"
"8/7/2023","1691366400","28306852038"
"8/8/2023","1691452800","28849880481"
"8/9/2023","1691539200","26008814331"
"8/10/2023","1691625600","26846010827"
"8/11/2023","1691712000","22812399922"
"8/12/2023","1691798400","18003778079"
"8/13/2023","1691884800","18081560274"
